REF_CTR,STATUT_CTR,REF_CTR_PAPIER_CTR,SERVICE_CTR,TYP_CTR,DAT_SIGN_CTR,DAT_DEB_CTR,DAT_RESIL_CTR,DAT_PROCH_VERS_CTR,CA_CTR,CA_EXP_CTR,CA_IMP_CTR,LIM_FIN_CTR,DEVISE_CTR,NB_ACH_PREVU_CTR,NB_FACT_PREVU_CTR,NB_AVOIRS_PREVU_CTR,NB_REMISES_PREVU_CTR,DELAI_MOYEN_REG_CTR,DELAI_MAX_REG_CTR,FACT_REG_CTR,DERN_MONT_DISP_2,MIN_COMM_FACT
74,V    ,012/2017,,0    ,2017-09-23,2017-09-23,2017-09-23,2017-09-23,4500000.0,0.0,4500000.0,2200000.0,TND,10,20,5,15,120,150.0,True,0.0,
75,V    ,014/2017,,0    ,2017-10-20,2017-10-20,2017-10-20,2017-10-20,500000.0,0.0,500000.0,500000.0,TND,5,10,5,50,120,120.0,True,0.0,
76,V    ,013/2017,,0    ,2017-11-18,2017-11-18,2017-11-18,2017-11-18,500000.0,0.0,500000.0,500000.0,TND,5,100,20,50,120,150.0,True,0.0,
79,V    ,015/2017,,0    ,2017-12-18,2017-12-19,2017-12-19,2018-12-19,2850000.0,0.0,2850000.0,2850000.0,TND,10,10,2,10,120,120.0,True,,
80,V    ,015/2017,,0    ,2017-12-19,2017-12-19,2017-12-18,2018-12-18,2850000.0,0.0,2850000.0,2850000.0,TND,10,10,2,10,120,120.0,True,0.0,
81,V    ,016/2017,,0    ,2017-12-24,2017-12-24,2017-12-24,2017-12-24,500000.0,0.0,500000.0,300000.0,TND,50,20,0,15,120,120.0,True,0.0,
82,V    ,017/2017,,0    ,2017-12-24,2017-12-24,2017-12-24,2017-12-24,500000.0,0.0,500000.0,300000.0,TND,5,20,10,20,120,120.0,True,0.0,
83,V    ,018/2017,,0    ,2017-12-24,2017-12-24,2017-12-24,2017-12-24,500000.0,0.0,500000.0,300000.0,TND,5,20,10,10,120,120.0,True,0.0,
84,V    ,019/2017,,0    ,2017-12-25,2017-12-25,2017-12-25,2017-12-25,500000.0,0.0,500000.0,300000.0,TND,10,30,5,10,0,120.0,True,0.0,
85,V    ,020/2017,,0    ,2017-12-25,2017-12-25,2017-12-25,2017-12-25,500000.0,0.0,500000.0,250000.0,TND,10,20,0,10,120,120.0,True,0.0,
86,V    ,001/2018,,0    ,2018-02-08,2018-02-08,,2018-02-08,1100000.0,0.0,1100000.0,350000.0,TND,15,100,10,25,120,120.0,True,0.0,
87,V    ,002/2018,,0    ,2018-02-21,2018-02-21,2018-02-21,2018-02-21,1200000.0,0.0,1200000.0,300000.0,TND,5,25,10,20,90,90.0,True,0.0,
88,V    ,003/2018,,0    ,2018-03-13,2018-03-13,2018-03-13,2018-03-13,500000.0,0.0,500000.0,250000.0,TND,5,20,5,12,120,120.0,True,0.0,
89,V    ,006/2018,,0    ,2018-04-26,2018-04-26,2018-04-26,2018-04-26,500000.0,0.0,500000.0,100000.0,TND,5,10,0,10,90,120.0,True,0.0,
90,V    ,007/2018,,0    ,2018-05-02,2018-05-02,2018-05-02,2018-05-02,5000000.0,0.0,5000000.0,3500000.0,TND,100,300,50,50,120,120.0,True,0.0,
91,V    ,007/2018,,0    ,2018-06-21,2018-06-21,2018-06-26,2018-06-26,1000000.0,0.0,1000000.0,350000.0,TND,10,100,10,100,120,120.0,True,0.0,
