NUM_BORD,REF_CTR_BORD,ANNEE_BORD,REF_ADH_BORD,REF_ACH_BORD,DAT_BORD,NB_DOC_BORD,MONT_TOT_BORD,DEVISE_ACH,SOLDE_BORD,VALIDE_BORD,DAT_SAISIE_BORD,EMETTEUR
02,95,2018,686,,2018-07-19,4,9044.201,,,True,2018-07-19,
02,97,2018,812,,2018-12-21,1,327023.727,,,True,2018-12-21,
02,98,2019,824,,2019-03-12,1,12198.6,,,True,2019-03-12,
02,100,2018,842,,2018-11-28,2,81009.974,,,True,2018-11-28,
02,101,2018,539,,2018-12-19,3,565308.984,,,True,2018-12-19,
02,102,2019,873,,2019-01-08,1,2072572.0,,,True,2019-01-08,
02,103,2019,881,,2019-02-18,1,11229.117,,,True,2019-02-18,
02,104,2019,882,,2019-06-25,1,118492.0,,,True,2019-06-25,
02,105,2019,978,,2019-06-25,1,95354.0,,,True,2019-06-25,
02,108,2019,981,,2019-07-01,1,317386.743,,,True,2019-07-01,
02,109,2019,988,,2019-06-19,1,160471.5,,,True,2019-06-19,
02,112,2019,997,,2019-08-22,1,52260.839,,,True,2019-08-22,
02,113,2019,999,,2019-06-11,3,10667.77,,,True,2019-06-11,
02,114,2019,1001,,2019-06-25,1,57000.0,,,True,2019-06-25,
02,121,2019,1031,,2019-08-16,1,1794.0,,,True,2019-08-16,
02,122,2019,1045,,2019-10-01,2,96853.442,,,True,2019-10-01,
02,123,2019,1057,,2019-10-28,14,12014.725,,,True,2019-10-28,
02,125,2019,1097,,2019-12-30,1,67280.82,,,True,2019-12-30,
02,126,2020,1136,,2020-02-18,5,53365.3,,,True,2020-02-18,
02,127,2022,320,,2022-01-01,2,1500000.0,,,True,2022-10-19,
02,128,2020,1159,,2020-06-02,2,116614.02,,,True,2020-06-02,
02,1128,2020,2176,,2020-06-15,1,17311.867,,,True,2020-06-15,
02,1129,2020,2177,,2020-06-12,2,103141.142,,,True,2020-06-12,
02,2127,2020,3158,,2020-07-23,2,288836.65,,,True,2020-07-23,
02,2129,2020,3181,,2020-08-17,1,24283.502,,,True,2020-08-17,
02,2130,2020,3182,,2020-08-18,2,53124.516,,,True,2020-08-18,
