ID_HISTORIQUE,DATE_ACTION,ACTION,T_TABLE,ID_ENREGISTREMENT,LOGIN_USER,IP_PC,NOM_PC,REF_CTR_HIST,REF_IND_HIST,ABREV_ROLE_HIST,ID_HISTORIQUEE
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11703,cyrine,10.2.115.20,10.2.115.20,60,338,Numérisation_des_documents54,743
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11208,cyrine,10.2.115.20,10.2.115.20,64,442,Numérisation_des_documents106,744
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11791,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV0022-2019,745
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11790,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV0025-2019,746
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11789,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV0023-2019,747
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11788,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00242019,748
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11787,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV08132019,749
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11786,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00282019,750
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11785,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00292019,751
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11784,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00142019,752
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11783,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00152019,753
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11782,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00162019,754
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11781,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00172019,755
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11780,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00182019,756
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11779,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00192019,757
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11778,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00202019,758
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11777,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00212019,759
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11776,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00072019,760
