ID_DET_BORD,REF_CTR_DET_BORD,ANNEE_BORD,NUM_BORD,TYP_DET_BORD,NUM_CREANCE_ASS_BORD,TYP_ASS_DET_BORD,DAT_DET_BORD,MONT_TTC_DET_BORD,DEVISE_DET_BORD,ECH_DET_BORD,ECH_APR_PROROG_DET_BORD,MONT_OUV_DET_BORD,DELAI_PAIE_DET_BORD,MODE_REG_DET_BORD,TYP_REG_DET_BORD,TX_FDG_DET_BORD,TX_COMM_FACT_DET_BORD,ANNUL_DET_BORD,VALIDE_DET_BORD,REF_IND_DET_BORD,MONT_FDG_DET_BORD,MONT_FDG_LIBERE_DET_BORD,MONT_COMM_FACT_DET_BORD,TX_TVA_COMM_FACT_DET_BORD,MONT_TVA_COMM_FACT_DET_BORD,MONT_TTC_COMM_FACT_DET_BORD,ID_CALC_DISPO_DET_BORD,REF_DET_BORD,COMM_DET_BORD,RETENU_DET_BORD
30188,57,2019,25,fact ,30188,,2019-07-30,3500.0,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,304,0.0,280.0,17.5,0.19,3.325,20.825,,,,0.0
30189,57,2019,25,fact ,30189,,2019-08-05,1471.782,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1039,0.0,117.742,7.358,0.19,1.398,8.757,,,,0.0
30190,57,2019,25,fact ,30190,,2019-08-05,1075.736,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,854,0.0,86.058,5.378,0.19,1.021,6.4,,,,0.0
30191,57,2019,25,fact ,30191,,2019-08-07,9819.189,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,290,0.0,257.535,49.095,0.19,9.328,58.424,,,,0.0
30192,57,2019,25,fact ,30192,,2019-07-08,29669.0,TND,176.0,,0.0,,C    ,,8.0,0.005,False,True,644,0.0,2373.52,148.345,0.19,28.185,176.53,,,,0.0
30193,57,2019,25,fact ,30193,,2019-07-31,6496.055,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,841,0.0,519.684,32.48,0.19,6.171,38.651,,,,0.0
30194,57,2019,25,fact ,30194,,2019-08-05,16735.728,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,841,0.0,1338.858,83.678,0.19,15.898,99.577,,,,0.0
30195,57,2019,25,fact ,30195,,2019-08-09,1968.935,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1040,0.0,157.514,9.844,0.19,1.87,11.715,,,,0.0
30196,57,2019,25,fact ,30196,,2019-08-02,2483.673,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,368,0.0,198.693,12.418,0.19,2.359,14.777,,,,0.0
30197,57,2019,25,fact ,30197,,2019-07-24,3524.894,TND,134.0,,0.0,,C    ,,8.0,0.005,False,True,368,0.0,144.0,17.624,0.19,3.348,20.973,,,,0.0
30198,57,2019,25,fact ,30198,,2019-07-15,10000.0,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1009,0.0,800.0,50.0,0.19,9.5,59.5,,,,0.0
30199,57,2019,25,fact ,30199,,2019-07-31,11420.494,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1009,0.0,513.64,57.102,0.19,10.849,67.951,,,,0.0
302,22,2014,30,fact ,302,,2013-04-15,706.0,TND,0.0,,706.0,,C    ,,0.0,0.0,False,True,41,0.0,0.0,0.0,0.0,0.0,0.0,,,"Date de livraison erronée(Je suis passé chez le débiteur, il payera dans 15 j. A relancer.)",
30200,57,2019,25,fact ,30200,,2019-07-15,1812.016,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,628,0.0,144.961,9.06,0.19,1.721,10.781,,,,0.0
30201,57,2019,25,fact ,30201,,2019-08-09,13632.982,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1041,0.0,1090.638,68.164,0.19,12.951,81.116,,,,0.0
30202,57,2019,25,fact ,30202,,2019-07-17,3000.0,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,641,0.0,240.0,15.0,0.19,2.85,17.85,,,,0.0
30203,57,2019,25,fact ,30203,,2019-07-19,4000.0,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,641,0.0,80.0,20.0,0.19,3.8,23.8,,,,0.0
30204,57,2019,25,fact ,30204,,2019-07-24,5713.641,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,985,0.0,457.091,28.568,0.19,5.427,33.996,,,,0.0
30205,57,2019,25,fact ,30205,,2019-07-29,1811.424,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,986,0.0,144.913,9.057,0.19,1.72,10.777,,,,0.0
30206,57,2019,25,fact ,30206,,2019-07-08,2643.819,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,655,0.0,211.505,13.219,0.19,2.511,15.73,,,,0.0
30207,57,2019,25,fact ,30207,,2019-07-06,4386.232,TND,137.0,,0.0,,C    ,,8.0,0.005,False,True,706,0.0,350.899,21.931,0.19,4.166,26.098,,,,0.0
30208,57,2019,25,fact ,30208,,2019-07-27,2186.11,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,285,0.0,174.888,10.93,0.19,2.076,13.007,,,,0.0
30209,57,2019,25,fact ,30209,,2019-07-18,3524.937,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,395,0.0,281.994,17.624,0.19,3.348,20.973,,,,0.0
30210,57,2019,25,fact ,30210,,2019-07-24,1601.22,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,729,0.0,128.097,8.006,0.19,1.521,9.527,,,,0.0
30211,57,2019,25,fact ,30211,,2019-08-01,19789.54,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,262,0.0,1583.163,98.947,0.19,18.8,117.747,,,,0.0
30212,57,2019,25,fact ,30212,,2019-07-15,3553.254,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,261,0.0,284.26,17.766,0.19,3.375,21.141,,,,0.0
30213,57,2019,25,fact ,30213,,2019-07-19,3553.254,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,261,0.0,284.26,17.766,0.19,3.375,21.141,,,,0.0
30214,57,2019,25,fact ,30214,,2019-06-25,3725.316,TND,148.0,,0.0,,C    ,,8.0,0.005,False,True,996,0.0,298.025,18.626,0.19,3.539,22.165,,,,0.0
30215,57,2019,25,fact ,30215,,2019-07-11,5000.0,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,727,0.0,400.0,25.0,0.19,4.75,29.75,,,,0.0
30216,57,2019,25,fact ,30216,,2019-07-19,2233.264,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1042,0.0,178.661,11.166,0.19,2.121,13.287,,,,0.0
30217,57,2019,25,fact ,30217,,2019-07-31,2342.921,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1043,0.0,187.433,11.714,0.19,2.225,13.94,,,,0.0
